pollutant,block,cv_rmse,test_rmse,overfitting_gap,overfitting_ratio,best_params,duration_s,n_features,train_size,test_size,fits_performed
CO,block_1,0.11775813074861372,0.11701727204773785,-0.0007408587008758682,0.9937086407862789,"{'boosting_type': 'gbdt', 'colsample_bytree': np.float64(0.8064793844308276), 'learning_rate': np.float64(0.13948397225707743), 'max_depth': 34, 'min_child_samples': 31, 'min_split_gain': np.float64(0.004936487679459256), 'n_estimators': 138, 'num_leaves': 29, 'reg_alpha': np.float64(0.4476993406550507), 'reg_lambda': np.float64(0.09507518845552099), 'subsample': np.float64(0.6040689825047102)}",57,9,3562,891,1000
CO,block_2,0.11509817550226917,0.11517161039675507,7.343489448589924e-05,1.000638019622513,"{'boosting_type': 'gbdt', 'colsample_bytree': np.float64(0.8064793844308276), 'learning_rate': np.float64(0.13948397225707743), 'max_depth': 34, 'min_child_samples': 31, 'min_split_gain': np.float64(0.004936487679459256), 'n_estimators': 138, 'num_leaves': 29, 'reg_alpha': np.float64(0.4476993406550507), 'reg_lambda': np.float64(0.09507518845552099), 'subsample': np.float64(0.6040689825047102)}",43,12,3562,891,1000
CO,block_3,0.11117097440003043,0.10992479236613054,-0.0012461820338998952,0.988790401086027,"{'boosting_type': 'gbdt', 'colsample_bytree': np.float64(0.8064793844308276), 'learning_rate': np.float64(0.13948397225707743), 'max_depth': 34, 'min_child_samples': 31, 'min_split_gain': np.float64(0.004936487679459256), 'n_estimators': 138, 'num_leaves': 29, 'reg_alpha': np.float64(0.4476993406550507), 'reg_lambda': np.float64(0.09507518845552099), 'subsample': np.float64(0.6040689825047102)}",63,21,3562,891,1000
CO,block_4,0.11170788362416513,0.10958893056532627,-0.002118953058838857,0.981031302446227,"{'boosting_type': 'gbdt', 'colsample_bytree': np.float64(0.8064793844308276), 'learning_rate': np.float64(0.13948397225707743), 'max_depth': 34, 'min_child_samples': 31, 'min_split_gain': np.float64(0.004936487679459256), 'n_estimators': 138, 'num_leaves': 29, 'reg_alpha': np.float64(0.4476993406550507), 'reg_lambda': np.float64(0.09507518845552099), 'subsample': np.float64(0.6040689825047102)}",57,18,3562,891,1000
CO,block_5,0.11325858877627412,0.11540828418274778,0.0021496954064736534,1.0189804184362572,"{'boosting_type': 'gbdt', 'colsample_bytree': np.float64(0.8064793844308276), 'learning_rate': np.float64(0.13948397225707743), 'max_depth': 34, 'min_child_samples': 31, 'min_split_gain': np.float64(0.004936487679459256), 'n_estimators': 138, 'num_leaves': 29, 'reg_alpha': np.float64(0.4476993406550507), 'reg_lambda': np.float64(0.09507518845552099), 'subsample': np.float64(0.6040689825047102)}",64,21,3562,891,1000
CO,block_6,0.1148944628514947,0.11632004606113072,0.001425583209636025,1.012407762517491,"{'boosting_type': 'gbdt', 'colsample_bytree': np.float64(0.8064793844308276), 'learning_rate': np.float64(0.13948397225707743), 'max_depth': 34, 'min_child_samples': 31, 'min_split_gain': np.float64(0.004936487679459256), 'n_estimators': 138, 'num_leaves': 29, 'reg_alpha': np.float64(0.4476993406550507), 'reg_lambda': np.float64(0.09507518845552099), 'subsample': np.float64(0.6040689825047102)}",56,18,3562,891,1000
CO,block_7,0.11064538800831647,0.11081103151642391,0.0001656435081074381,1.0014970665392307,"{'boosting_type': 'gbdt', 'colsample_bytree': np.float64(0.8064793844308276), 'learning_rate': np.float64(0.13948397225707743), 'max_depth': 34, 'min_child_samples': 31, 'min_split_gain': np.float64(0.004936487679459256), 'n_estimators': 138, 'num_leaves': 29, 'reg_alpha': np.float64(0.4476993406550507), 'reg_lambda': np.float64(0.09507518845552099), 'subsample': np.float64(0.6040689825047102)}",81,30,3562,891,1000
CO,block_8,0.11159164731509871,0.11038826646683501,-0.0012033808482636993,0.9892162103775944,"{'boosting_type': 'gbdt', 'colsample_bytree': np.float64(0.8064793844308276), 'learning_rate': np.float64(0.13948397225707743), 'max_depth': 34, 'min_child_samples': 31, 'min_split_gain': np.float64(0.004936487679459256), 'n_estimators': 138, 'num_leaves': 29, 'reg_alpha': np.float64(0.4476993406550507), 'reg_lambda': np.float64(0.09507518845552099), 'subsample': np.float64(0.6040689825047102)}",74,27,3562,891,1000
NO2,block_1,5.366749481390547,4.406422887900963,-0.9603265934895848,0.8210599177734005,"{'boosting_type': 'gbdt', 'colsample_bytree': np.float64(0.6603922933118583), 'learning_rate': np.float64(0.1241203684458634), 'max_depth': 28, 'min_child_samples': 2, 'min_split_gain': np.float64(0.11688434630205297), 'n_estimators': 583, 'num_leaves': 54, 'reg_alpha': np.float64(0.7821982462135249), 'reg_lambda': np.float64(0.6411293079903204), 'subsample': np.float64(0.9261907716022505)}",205,9,3549,888,1000
NO2,block_2,5.332080184746131,4.511874141715118,-0.8202060430310132,0.8461752234376677,"{'boosting_type': 'gbdt', 'colsample_bytree': np.float64(0.6603922933118583), 'learning_rate': np.float64(0.1241203684458634), 'max_depth': 28, 'min_child_samples': 2, 'min_split_gain': np.float64(0.11688434630205297), 'n_estimators': 583, 'num_leaves': 54, 'reg_alpha': np.float64(0.7821982462135249), 'reg_lambda': np.float64(0.6411293079903204), 'subsample': np.float64(0.9261907716022505)}",233,12,3549,888,1000
NO2,block_3,5.02117958441408,4.245781234599628,-0.7753983498144521,0.8455744637731508,"{'boosting_type': 'gbdt', 'colsample_bytree': np.float64(0.8398544033694867), 'learning_rate': np.float64(0.11332678885279975), 'max_depth': 35, 'min_child_samples': 23, 'min_split_gain': np.float64(0.11753881834308516), 'n_estimators': 565, 'num_leaves': 60, 'reg_alpha': np.float64(0.3971830061078525), 'reg_lambda': np.float64(0.0509524715576406), 'subsample': np.float64(0.891759079302461)}",365,21,3549,888,1000
NO2,block_4,5.00014305350138,4.285193497657716,-0.7149495558436634,0.857014179755714,"{'boosting_type': 'gbdt', 'colsample_bytree': np.float64(0.9460081007915934), 'learning_rate': np.float64(0.13437203610507123), 'max_depth': 27, 'min_child_samples': 14, 'min_split_gain': np.float64(0.13652498710837369), 'n_estimators': 590, 'num_leaves': 59, 'reg_alpha': np.float64(1.341056080137891), 'reg_lambda': np.float64(1.1861310365961137), 'subsample': np.float64(0.8686616389688537)}",326,18,3549,888,1000
NO2,block_5,5.2394676614323545,4.356325878602491,-0.8831417828298633,0.8314443680355817,"{'boosting_type': 'gbdt', 'colsample_bytree': np.float64(0.9460081007915934), 'learning_rate': np.float64(0.13437203610507123), 'max_depth': 27, 'min_child_samples': 14, 'min_split_gain': np.float64(0.13652498710837369), 'n_estimators': 590, 'num_leaves': 59, 'reg_alpha': np.float64(1.341056080137891), 'reg_lambda': np.float64(1.1861310365961137), 'subsample': np.float64(0.8686616389688537)}",362,21,3549,888,1000
NO2,block_6,5.234680476940161,4.40602964317004,-0.828650833770121,0.8416998253435911,"{'boosting_type': 'gbdt', 'colsample_bytree': np.float64(0.6603922933118583), 'learning_rate': np.float64(0.1241203684458634), 'max_depth': 28, 'min_child_samples': 2, 'min_split_gain': np.float64(0.11688434630205297), 'n_estimators': 583, 'num_leaves': 54, 'reg_alpha': np.float64(0.7821982462135249), 'reg_lambda': np.float64(0.6411293079903204), 'subsample': np.float64(0.9261907716022505)}",326,18,3549,888,1000
NO2,block_7,4.99345448173751,4.274713252913598,-0.7187412288239123,0.8560633262098304,"{'boosting_type': 'gbdt', 'colsample_bytree': np.float64(0.7668409672427432), 'learning_rate': np.float64(0.13009894871938596), 'max_depth': 43, 'min_child_samples': 28, 'min_split_gain': np.float64(0.08893237397567427), 'n_estimators': 591, 'num_leaves': 63, 'reg_alpha': np.float64(1.9147898526533376), 'reg_lambda': np.float64(1.9189412136995643), 'subsample': np.float64(0.6151450350881722)}",495,30,3549,888,1000
NO2,block_8,5.013322856230269,4.194022644012172,-0.8193002122180975,0.8365754140091101,"{'boosting_type': 'gbdt', 'colsample_bytree': np.float64(0.6603922933118583), 'learning_rate': np.float64(0.1241203684458634), 'max_depth': 28, 'min_child_samples': 2, 'min_split_gain': np.float64(0.11688434630205297), 'n_estimators': 583, 'num_leaves': 54, 'reg_alpha': np.float64(0.7821982462135249), 'reg_lambda': np.float64(0.6411293079903204), 'subsample': np.float64(0.9261907716022505)}",465,27,3549,888,1000
O3,block_1,10.44650999157251,8.421504821817017,-2.0250051697554934,0.8061548621128855,"{'boosting_type': 'gbdt', 'colsample_bytree': np.float64(0.7293916787956302), 'learning_rate': np.float64(0.10111628402718303), 'max_depth': 18, 'min_child_samples': 5, 'min_split_gain': np.float64(0.036734726010191954), 'n_estimators': 367, 'num_leaves': 45, 'reg_alpha': np.float64(1.280009352835624), 'reg_lambda': np.float64(1.4353027403163245), 'subsample': np.float64(0.7536681561667099)}",134,9,1220,306,1000
O3,block_2,10.446194235206221,8.079779303146518,-2.366414932059703,0.7734663094733287,"{'boosting_type': 'gbdt', 'colsample_bytree': np.float64(0.6603922933118583), 'learning_rate': np.float64(0.1241203684458634), 'max_depth': 28, 'min_child_samples': 2, 'min_split_gain': np.float64(0.11688434630205297), 'n_estimators': 583, 'num_leaves': 54, 'reg_alpha': np.float64(0.7821982462135249), 'reg_lambda': np.float64(0.6411293079903204), 'subsample': np.float64(0.9261907716022505)}",144,12,1220,306,1000
