,Date,Emisions
0,2025-02-01,2107333454.8630037
1,2025-01-01,2094004919.8630037
2,2024-12-01,2076063074.8630037
3,2024-11-01,2060863949.8630037
4,2024-10-01,2045018792.8630037
5,2024-09-01,2030719537.8630037
6,2024-08-01,2020564866.8630037
7,2024-07-01,2004246761.8630037
8,2024-06-01,1985477452.8630037
9,2024-05-01,1967741800.8630037
10,2024-04-01,1950899337.8630037
11,2024-03-01,1934591307.8630037
12,2024-02-01,1919678974.8630037
13,2024-01-01,1906613687.8630037
14,2023-12-01,1893343996.9130058
15,2023-11-01,1878940613.6260056
16,2023-10-01,1864304288.6490083
17,2023-09-01,1852776228.103006
18,2023-08-01,1842556853.4970055
19,2023-07-01,1827281710.468001
20,2023-06-01,1810541772.7749977
21,2023-05-01,1794412988.2199955
22,2023-04-01,1781805610.8749971
23,2023-03-01,1765820331.9449978
24,2023-02-01,1753075426.5609965
25,2023-01-01,1741531784.7739973
26,2022-12-01,1729118100.2919972
27,2022-11-01,1716088340.7059984
